Position,Bx,By,Bz,MagneticFieldMagnitude
0.0,-0.4600000000000001,-0.7200000000000001,0.7000000000000001,1.107088235667098
0.1,-0.58,-0.76,0.68,1.1742040670722105
0.2,-0.5,-0.8,0.7000000000000001,1.174734012447073
0.30000000000000004,-0.5,-0.8,0.66,1.1520540029682018
0.4,-0.5,-0.7000000000000001,0.7000000000000001,1.1090536506409419
0.5,-0.5,-0.76,0.7000000000000001,1.1484618677246208
0.6000000000000001,-0.56,-0.64,0.7000000000000001,1.1036214602563768
0.7000000000000001,-0.48,-0.76,0.64,1.1092532529677495
0.8,-0.6,-0.7400000000000001,0.7000000000000001,1.1828124387967616
0.9,-0.5,-0.64,0.7000000000000001,1.0729067691584677
