Position,Bx,By,Bz,MagneticFieldMagnitude
0.0,-0.5,-0.7000000000000001,0.68,1.0970046901467838
0.1,-0.5,-0.74,0.68,1.123985790623959
0.2,-0.52,-0.7200000000000001,0.68,1.1203789928739798
0.30000000000000004,-0.52,-0.62,0.7000000000000001,1.0705638165919258
0.4,-0.5800000000000001,-0.68,0.66,1.116844873543791
0.5,-0.48,-0.7000000000000001,0.66,1.0761914724410133
0.6000000000000001,-0.52,-0.7000000000000001,0.64,1.082612777086084
0.7000000000000001,-0.5800000000000001,-0.68,0.64,1.1026162055288846
0.8,-0.52,-0.7000000000000001,0.64,1.082612777086084
0.9,-0.43999999999999995,-0.8,0.66,1.128682596995991
