Position,Bx,By,Bz,MagneticFieldMagnitude
0.0,-0.5,-0.8,0.6,1.118033988749895
0.1,-0.5,-0.7200000000000001,0.62,1.073993881025536
0.2,-0.5,-0.7000000000000001,0.66,1.0849557296526258
0.30000000000000004,-0.48,-0.7000000000000001,0.66,1.0761914724410133
0.4,-0.52,-0.7000000000000001,0.6,1.0590470785361212
0.5,-0.5800000000000001,-0.7000000000000001,0.6,1.0897617696340305
0.6000000000000001,-0.52,-0.7000000000000001,0.66,1.0951939600185956
0.7000000000000001,-0.5,-0.7000000000000001,0.66,1.0849557296526258
0.8,-0.6,-0.7000000000000001,0.64,1.123033476111609
0.9,-0.56,-0.8,0.7000000000000001,1.2022869419228512
